Psychological Medicine , (' Psychological medicine', 100, 6551) , [' Psychol Med']
Biomacromolecules , (' Biomacromolecules', 100, 14259) , [' Biomacromolecules']
J Med Chem , (' Chem', 90, 29844) , [' Chem']
J Org Chem , (' Chem', 90, 29844) , [' Chem']
Journal of Medicinal Chemistry , (' Journal of medicinal chemistry', 100, 4776) , [' J Med Chem']
Journal of Proteome Research , (' Journal of proteome research', 100, 17322) , [' J Proteome Res']
Mol Pharm , (' Medical oncology and tumor pharmacotherapy', 80, 5414) , [' Med Oncol Tumor Pharmacother']
ACS Chemical Biology , (' ACS chemical biology', 100, 19755) , [' ACS Chem Biol']
Journal of Chemical Information and Modeling , (' Journal of chemical information and modeling', 100, 19134) , [' J Chem Inf Model']
Biochemistry , (' Biochemistry', 100, 992) , [' Biochemistry']
Gastroenterology , (' Gastroenterology', 100, 3695) , [' Gastroenterology']
Journal of Biological Chemistry , (' The Journal of biological chemistry', 95, 4400) , [' J Biol Chem']
Journal of Immunology , (' European journal of immunology', 95, 3474) , [' Eur J Immunol']
ACS Chemical Neuroscience , (' ACS chemical neuroscience', 100, 22987) , [' ACS Chem Neurosci']
ACS NANO , (' ACS nano', 100, 21168) , [' ACS Nano']
American Chemical Society , (' Journal of the American Chemical Society', 90, 4277) , [' J Am Chem Soc']
Analytical Chemistry , (' Analytical chemistry', 100, 505) , [' Anal Chem']
Bioconjugate Chemistry , (' Bioconjugate chemistry', 100, 1025) , [' Bioconjug Chem']
Journal of Medicinal Chemistry  , (' Journal of medicinal chemistry', 100, 4776) , [' J Med Chem']
Journal of the American Chemical Society , (' Journal of the American Chemical Society', 100, 4277) , [' J Am Chem Soc']
ACS Nano , (' ACS nano', 100, 21168) , [' ACS Nano']
CHEST , (' Chest', 100, 2791) , [' Chest']
Journal of Neurophysiology , (' Journal of neurophysiology', 100, 4850) , [' J Neurophysiol']
Journal of Physiology , (' Journal of physiology Paris', 95, 2288) , [' J Physiol Paris']
The Journal of Neurophysiology , (' Journal of neurophysiology', 95, 4850) , [' J Neurophysiol']
American Journal of Psychiatry , (' The American journal of psychiatry', 95, 446) , [' Am J Psychiatry']
Americal Journal of Psychiatry , (' Journal of psychiatry', 95, 27987) , [' J Psychiatry']
Behavioral Neuroscience , (' Behavioral neuroscience', 100, 1387) , [' Behav Neurosci']
Emotion , (' Emotion Washington DC', 90, 17487) , [' Emotion']
Health Psychology , (' Psychology & health', 95, 14821) , [' Psychol Health']
Journal of Abnormal Psychology , (' Journal of abnormal psychology', 100, 4259) , [' J Abnorm Psychol']
Journal of Consulting and Clinical Psychology , (' Journal of consulting and clinical psychology', 100, 4516) , [' J Consult Clin Psychol']
Journal of Experimental Psychology  Animal Behaviour Process , (' Journal of experimental psychology Animal behavior processes', 97, 4566) , [' J Exp Psychol Anim Behav Process']
Journal of Experimental Psychology Human Perception and Performance , (' Journal of experimental psychology Human perception and performance', 100, 4571) , [' J Exp Psychol Hum Percept Perform']
Journal of Family Psychology , (' Journal of family psychology  JFP  journal of the Division of Family Psychology of the American Psychological Association Division 43', 90, 9407) , [' J Fam Psychol']
Psychological Assessment , (' Psychological assessment', 100, 9413) , [' Psychol Assess']
Psychological Review , (' Psychological review', 100, 6557) , [' Psychol Rev']
Psychological Trauma Theory research practice and policy , (' Psychological trauma  theory research practice and policy', 99, 22526) , [' Psychol Trauma']
American Journal of Public Health , (' American journal of public health', 100, 450) , [' Am J Public Health']
J Biol Chem , (' Chem', 90, 29844) , [' Chem']
JOURNAL OF BIOLOGICAL CHEMISTRY , (' The Journal of biological chemistry', 95, 4400) , [' J Biol Chem']
The Journal of Biological Chemistry , (' The Journal of biological chemistry', 100, 4400) , [' J Biol Chem']
American Journal of Pathology , (' American journal of clinical pathology', 95, 403) , [' Am J Clin Pathol']
Antimicrobial Agents and Chemotherapy , (' Antimicrobial agents and chemotherapy', 100, 671) , [' Antimicrob Agents Chemother', ' Antimicrob Agents Chemother Bethesda']
Antimicrobial Agfents and Chemotherapy , (' Antimicrobial agents and chemotherapy', 99, 671) , [' Antimicrob Agents Chemother', ' Antimicrob Agents Chemother Bethesda']
Clinical and Vaccine Immunology , (' Clinical and vaccine immunology  CVI', 95, 19484) , [' Clin Vaccine Immunol']
Eukaryotic Cell , (' Eukaryotic cell', 100, 14315) , [' Eukaryot Cell']
Infection and Immunity , (' Infection and immunity', 100, 4091) , [' Infect Immun']
Journal of Bacteriology , (' Journal of bacteriology', 100, 4382) , [' J Bacteriol']
Journal of Virology , (' Journal of virology', 100, 5169) , [' J Virol']
Mbio , (' mBio', 100, 23390) , [' MBio']
Molecular and Cellular Biology , (' Molecular and cellular biology', 100, 5711) , [' Mol Cell Biol']
Journal of Clinical Microbiology  , (' Journal of clinical microbiology', 100, 4474) , [' J Clin Microbiol']
Journal of Virology , (' Journal of virology', 100, 5169) , [' J Virol']
American Society for Nutrition , (' Society', 90, 7304) , [' Society']
Blood , (' Blood', 100, 1204) , [' Blood']
Blood Journal 2012 , (' Blood', 90, 1204) , [' Blood']
THE AMERICAN JOURNAL OF HUMAN GENETICS , (' American journal of human genetics', 95, 417) , [' Am J Hum Genet']
Jounral of Clinical Microbiology , (' Journal of clinical microbiology', 97, 4474) , [' J Clin Microbiol']
Speech Language and Hearing Research , (' Hearing research', 90, 4334) , [' Hear Res']
BIOLOGICAL CHEMISTRY , (' Biological chemistry', 100, 8521) , [' Biol Chem']
Biologicial Chemistry , (' Biological chemistry', 98, 8521) , [' Biol Chem']
J Biol Chemistry , (' Chemistry', 90, 17511) , [' Chemistry Easton']
Journal of biological chemistry , (' The Journal of biological chemistry', 95, 4400) , [' J Biol Chem']
MCP Molecular & Cellular Proteomics , (' Molecular & cellular proteomics  MCP', 95, 14232) , [' Mol Cell Proteomics']
Molecular and Cellular Proteomics , (' Molecular and cellular probes', 90, 5691) , [' Mol Cell Probes']
The journal of Biological Chemistry , (' The Journal of biological chemistry', 100, 4400) , [' J Biol Chem']
Jnl Biological Chemistry , (' Biological chemistry', 95, 8521) , [' Biol Chem']
Journal Biological Chemistry , (' The Journal of biological chemistry', 95, 4400) , [' J Biol Chem']
Journal of Biol Chem , (' Chem', 90, 29844) , [' Chem']
Journal of Vision , (' Journal of vision', 100, 17384) , [' J Vis']
Current Topics in Medicinal Chemistry , (' Current topics in medicinal chemistry', 100, 14447) , [' Curr Top Med Chem']
Current Analytical Chemistry , (' Current analytical chemistry', 100, 21998) , [' Curr Anal Chem']
Evidence Ethos and Experiment The Anthropology and History of Medical Research in Africa , (' Nihon shika hyoron The Nippon dental review', 86, 3) , [' Nihon Shika Hyoron']
Biochem Journal , (' RN', 90, 7113) , [' RN']
Molecular Cell , (' Molecular cell', 100, 8724) , [' Mol Cell']
Arthritis Research & Therapy , (' Arthritis research & therapy', 100, 17404) , [' Arthritis Res Ther']
BioMed Central , (' Central European journal of public health', 86, 2233) , [' Cent Eur J Public Health']
BMC  Public Health , (' BMC public health', 97, 9642) , [' BMC Public Health']
BMC Biology , (' BMC biology', 100, 18676) , [' BMC Biol']
BMC Genetics , (' BMC genetics', 100, 9561) , [' BMC Genet']
BMC Genome Biology , (' Genome biology', 95, 9578) , [' Genome Biol']
BMC Genomics , (' BMC genomics', 100, 9541) , [' BMC Genomics']
BMC Health Services Research , (' BMC health services research', 100, 9876) , [' BMC Health Serv Res']
BMC Medical Genetics , (' BMC medical genetics', 100, 9590) , [' BMC Med Genet']
BMC Medicine , (' BMC medicine', 100, 18677) , [' BMC Med']
BMC Microbiology , (' BMC microbiology', 100, 9641) , [' BMC Microbiol']
BMC Molecular Biology , (' BMC molecular biology', 100, 9568) , [' BMC Mol Biol']
BMC Neurology , (' BMC neurology', 100, 9640) , [' BMC Neurol']
BMC Neuroscience , (' BMC neuroscience', 100, 9614) , [' BMC Neurosci']
BMC Psychiatry , (' BMC psychiatry', 100, 9892) , [' BMC Psychiatry']
BMC Public Health , (' BMC public health', 100, 9642) , [' BMC Public Health']
BMC Research Notes , (' BMC research notes', 100, 20619) , [' BMC Res Notes']
BMC Veterinary Research , (' BMC veterinary research', 100, 19265) , [' BMC Vet Res']
BMS Genomics , (' BMC genomics', 92, 9541) , [' BMC Genomics']
Clinical Proteomics , (' Clinical proteomics', 100, 22393) , [' Clin Proteomics']
EvoDevo , (' EvoDevo', 100, 22989) , [' Evodevo']
Genome Biology , (' Genome biology', 100, 9578) , [' Genome Biol']
Genome Medicine , (' Genome medicine', 100, 20978) , [' Genome Med']
International Journal for Equity in Health , (' International journal for equity in health', 100, 17074) , [' Int J Equity Health']
International Journal of Behavioral Nutrition and Physical Activity , (' The international journal of behavioral nutrition and physical activity', 97, 18888) , [' Int J Behav Nutr Phys Act']
International Journal of Behavioural Nutrition and Physical Activity , (' The international journal of behavioral nutrition and physical activity', 96, 18888) , [' Int J Behav Nutr Phys Act']
International Journal of Health Geographics , (' International journal of health geographics', 100, 17249) , [' Int J Health Geogr']
Journal of Cheminformatics , (' Journal of cheminformatics', 100, 22708) , [' J Cheminform']
Journal of Neuroinflammation , (' Journal of neuroinflammation', 100, 18934) , [' J Neuroinflammation']
Lipids in Health and Disease , (' Lipids in health and disease', 100, 17076) , [' Lipids Health Dis']
Malaria Journal , (' Malaria journal', 100, 17003) , [' Malar J']
Molecular Brain , (' Molecular brain', 100, 20673) , [' Mol Brain']
Molecular Pain , (' Molecular pain', 100, 19181) , [' Mol Pain']
Nutrition Journal , (' Nutrition journal', 100, 17254) , [' Nutr J']
Orphanet Journal of Rare Diseases , (' Orphanet journal of rare diseases', 100, 19495) , [' Orphanet J Rare Dis']
Parasites and Vectors , (' Parasites & vectors', 95, 20614) , [' Parasit Vectors']
Public Health , (' Public health', 100, 6574) , [' Public Health']
Respiratory Research , (' Respiratory research', 100, 14221) , [' Respir Res']
Virology Journal , (' Virology journal', 100, 19058) , [' Virol J']
BMC Genomics , (' BMC genomics', 100, 9541) , [' BMC Genomics']
BMC Infectious Diseases  , (' BMC infectious diseases', 100, 9650) , [' BMC Infect Dis']
Hum Resour Health , (' Health', 90, 20795) , [' Health', ' Health N Hav', ' Health Toronto', ' Health Irvine Calif']
Implement Sci , (' SCI nursing  a publication of the American Association of Spinal Cord Injury Nurses', 86, 7224) , [' SCI Nurs']
Malaria Journal  , (' Malaria journal', 100, 17003) , [' Malar J']
Parasit Vectors , (' Parasites & vectors', 89, 20614) , [' Parasit Vectors']
RESPIRATORY RESEARCH , (' Respiratory research', 100, 14221) , [' Respir Res']
AIDS Research and Therapy , (' AIDS research and therapy', 100, 19180) , [' AIDS Res Ther']
BMC Pediatrics , (' BMC pediatrics', 100, 9874) , [' BMC Pediatr']
Human Resources for Health , (' Human resources for health', 100, 17413) , [' Hum Resour Health']
Trials  , (' Trials', 100, 19510) , [' Trials']
BMC Infectious diseases , (' BMC infectious diseases', 100, 9650) , [' BMC Infect Dis']
Veterinary Research , (' Veterinary research', 100, 2304) , [' Vet Res']
Biophysical Journal , (' Biophysical journal', 100, 1137) , [' Biophys J']
European Journal of Endocrinology , (' European journal of endocrinology', 100, 2473) , [' Eur J Endocrinol']
Journal of Endocrinology , (' Journal of molecular endocrinology', 95, 1346) , [' J Mol Endocrinol']
Journal of Molecular Endocrinology , (' Journal of molecular endocrinology', 100, 1346) , [' J Mol Endocrinol']
Journal of molecular Endocrinology , (' Journal of molecular endocrinology', 100, 1346) , [' J Mol Endocrinol']
ReproductionCambridge England , (' Reproduction Cambridge England', 98, 9629) , [' Reproduction']
Cellular Microbiology , (' Cellular microbiology', 100, 9445) , [' Cell Microbiol']
Arthritis Research and Therapy , (' Arthritis research & therapy', 95, 17404) , [' Arthritis Res Ther']
BMC Infectious Diseases , (' BMC infectious diseases', 100, 9650) , [' BMC Infect Dis']
BMC Medical Ethics , (' BMC medical ethics', 100, 9666) , [' BMC Med Ethics']
BMC Medical Imaging , (' BMC medical imaging', 100, 9891) , [' BMC Med Imaging']
Cost Effectiveness and Resource Allocation , (' Cost effectiveness and resource allocation  C/E', 95, 17411) , [' Cost Eff Resour Alloc']
Trials , (' Trials', 100, 19510) , [' Trials']
BJOPHTHALMOL , (' Ophthalmology', 80, 6049) , [' Ophthalmology']
BMJ , (' BMJ Clinical research ed', 90, 2190) , [' BMJ']
BMJ Open , (' BMJ open', 100, 24875) , [' BMJ Open']
British Journal of Ophthalmology , (' The British journal of ophthalmology', 95, 1817) , [' Br J Ophthalmol']
British Journal of Opthalmology , (' The British journal of ophthalmology', 93, 1817) , [' Br J Ophthalmol']
British Medical Journal , (' British medical journal', 100, 1847) , [' Br Med J']
Frontline Gastroenterology , (' Frontline gastroenterology', 100, 24089) , [' Frontline Gastroenterol']
Journal of Clinical Pathology , (' Journal of clinical pathology', 100, 4482) , [' J Clin Pathol']
Journal of Epidemiology & Community Health  , (' Journal of epidemiology and community health', 95, 4547) , [' J Epidemiol Community Health', ' J Epidemiol Community Health']
Journal of Medical Ethics , (' Journal of medical ethics', 100, 4782) , [' J Med Ethics']
Journal of Medical Genetics , (' Journal of medical genetics', 100, 4783) , [' J Med Genet']
Journal of Neurology Neurosurgery & Psychiatry , (' Journal of neurology neurosurgery and psychiatry', 96, 4846) , [' J Neurol Neurosurg Psychiatry']
Journal of Neurology Neurosurgery & Psychiatry  , (' Journal of neurology neurosurgery and psychiatry', 96, 4846) , [' J Neurol Neurosurg Psychiatry']
Journal of Neurology Neurosurgery and Psychiatry , (' Journal of neurology neurosurgery and psychiatry', 100, 4846) , [' J Neurol Neurosurg Psychiatry']
Sexually Transmitted Infections , (' Sexually transmitted infections', 100, 8907) , [' Sex Transm Infect']
Gut , (' Gut', 100, 3776) , [' Gut']
Archives of Disease in Childhood , (' Archives of disease in childhood', 100, 713) , [' Arch Dis Child']
BMJ OPEN , (' BMJ open', 100, 24875) , [' BMJ Open']
BMJ QUALITY AND SAFETY , (' BMJ quality & safety', 95, 24060) , [' BMJ Qual Saf']
Heart , (' American heart journal', 90, 387) , [' Am Heart J']
Journal of Epidemiology & Community Health , (' Journal of epidemiology and community health', 95, 4547) , [' J Epidemiol Community Health', ' J Epidemiol Community Health']
Medical Humanities , (' Medical humanities', 100, 13408) , [' Med Humanit']
Sexually Transmitted Infections                          , (' Sexually transmitted infections', 100, 8907) , [' Sex Transm Infect']
Thorax , (' Thorax', 100, 7489) , [' Thorax']
Sex Transm Infect , (' Advances in sex hormone research', 86, 313) , [' Adv Sex Horm Res']
BMJ open , (' BMJ open', 100, 24875) , [' BMJ Open']
Journal of Epidemiology and Community Health , (' Journal of epidemiology and community health', 100, 4547) , [' J Epidemiol Community Health', ' J Epidemiol Community Health']
Postgraduate Medical Journal , (' Postgraduate medical journal', 100, 6337) , [' Postgrad Med J']
Veterinary Record , (' The Veterinary record', 95, 7737) , [' Vet Rec']
THORAX an international journal for Respiratory Medicine , (' National journal', 90, 1865) , [' Natl J Wash']
European Journal of Health Law , (' European journal of health law', 100, 13340) , [' Eur J Health Law']
Journal of Neuroscience , (' Journal of neuroscience methods', 95, 5141) , [' J Neurosci Methods']
Heart and Circulatory Physiology , (' American journal of physiology Heart and circulatory physiology', 90, 9369) , [' Am J Physiol Heart Circ Physiol']
Antimicobial Agents and Chemotherapy , (' Antimicrobial agents and chemotherapy', 99, 671) , [' Antimicrob Agents Chemother', ' Antimicrob Agents Chemother Bethesda']
J Clin Microbiol , (' Bulletin Union County N J Dental Society', 86, 2534) , [' Bull Union Cty Dent Soc']
JOURNAL OF BACTERIOLOGY , (' Journal of bacteriology', 100, 4382) , [' J Bacteriol']
Journal of Clinical Microbiology , (' Journal of clinical microbiology', 100, 4474) , [' J Clin Microbiol']
mBio , (' mBio', 100, 23390) , [' MBio']
International Psychogeriatrics , (' International psychogeriatrics', 100, 1151) , [' Int Psychogeriatr']
Parasitology , (' Parasitology', 100, 6138) , [' Parasitology']
Medical History , (' Medical history', 100, 5435) , [' Med Hist']
Ageing & Society , (' Ageing and society', 95, 13136) , [' Ageing Soc']
British Journal for the History of Science , (' British journal for the history of science', 100, 10802) , [' Br J Hist Sci']
British Journal of the History of Science , (' British journal for the history of science', 96, 10802) , [' Br J Hist Sci']
Epidemiology and Infection , (' Epidemiology and infection', 100, 3506) , [' Epidemiol Infect']
Expert Reviews in Molecular Medicine , (' Expert reviews in molecular medicine', 100, 17294) , [' Expert Rev Mol Med']
International Journal of Law in Context , (' International journal of law in context', 100, 26735) , [' Int J Law Context']
Jnl of the International Neuropsychological Society , (' Journal of the International Neuropsychological Society  JINS', 91, 8570) , [' J Int Neuropsychol Soc']
Public Health Nutrition , (' Public health nutrition', 100, 9254) , [' Public Health Nutr']
Pyschological Medicine , (' Psychological medicine', 95, 6551) , [' Psychol Med']
Urban History , (' Urban history', 100, 19652) , [' Urban History']
Visual Neuroscience , (' Visual neuroscience', 100, 1792) , [' Vis Neurosci']
American Journal of Human Genetics , (' American journal of human genetics', 100, 417) , [' Am J Hum Genet']
Stem Cell Reports , (' Stem cell reports', 100, 26638) , [' Stem Cell Reports']
Journal of Clinical Endocrinology and Metabolism , (' The Journal of clinical endocrinology and metabolism', 96, 4464) , [' J Clin Endocrinol Metab']
Journal of Virol , (' Journal of virology', 91, 5169) , [' J Virol']
Journal of the International AIDS Society , (' Journal of the International AIDS Society', 100, 21027) , [' J Int AIDS Soc']
Genes & Development , (' Genes & development', 100, 3721) , [' Genes Dev']
Learning and Memory , (' Journal of experimental psychology Human learning and memory', 90, 4570) , [' J Exp Psychol Hum Learn']
Genome Research , (' Genome research', 100, 8223) , [' Genome Res']
RNA , (" AADE editors' journal", 90, 0) , [' AADE Ed J']
Journal of Cell Science , (' Journal of cell science', 100, 4432) , [' J Cell Sci']
Biology Open , (' Biology open', 100, 25487) , [' Biol Open']
Development , (' Advances in child development and behavior', 90, 259) , [' Adv Child Dev Behav']
Developmental Cell , (' Developmental cell', 100, 9951) , [' Dev Cell']
Disease Models and Mechanisms , (' Disease models & mechanisms', 95, 21276) , [' Dis Model Mech']
J Cell Sci , (' Cell', 90, 2707) , [' Cell']
International Reviews of Immunology , (' International reviews of immunology', 100, 4728) , [' Int Rev Immunol']
Journal of the International African Institute , (" AADE editors' journal", 86, 0) , [' AADE Ed J']
Cell Reports , (' Cell reports', 100, 25021) , [' Cell Rep']
American Journal for Clinical Nutrition , (' The American journal of clinical nutrition', 91, 401) , [' Am J Clin Nutr']
American Journal of Clinical Nutrition , (' The American journal of clinical nutrition', 95, 401) , [' Am J Clin Nutr']
Cell Press - Cell Reports , (' Cell', 90, 2707) , [' Cell']
G3 Genes Genomes Genetics , (' Genetics', 90, 3724) , [' Genetics']
GENETICS , (' Genetics', 100, 3724) , [' Genetics']
Genetics  , (' Genetics', 100, 3724) , [' Genetics']
J Immunol  , (' SOJ immunology', 90, 27262) , [' SOJ Immunol']
Proceedings of the National Academy of Sciences , (' Proceedings of the National Academy of Sciences India Section B', 95, 21599) , [nan]
The Journal of Immunology , (' The Egyptian journal of immunology', 95, 17019) , [' Egypt J Immunol']
J Immunol , (' SOJ immunology', 90, 27262) , [' SOJ Immunol']
Journal of Nutrition , (' Journal of human nutrition', 95, 4645) , [' J Hum Nutr']
PNAS , (' Acta anaesthesiologica', 68, 10) , [' Acta Anaesthesiol']
Neuroimage , (' NeuroImage', 100, 8544) , [' Neuroimage']
Academy of Nutrition and Dietetics , (' Journal of the Academy of Nutrition and Dietetics', 95, 25023) , [' J Acad Nutr Diet']
American Journal of Geriatric Psychiatry , (' Journal of geriatric psychiatry', 95, 4594) , [' J Geriatr Psychiatry']
American Journal of Preventive Medicine , (' American journal of preventive medicine', 100, 1599) , [' Am J Prev Med']
Analytical Biochemistry , (' Analytical biochemistry', 100, 504) , [' Anal Biochem']
Animal Behaviour , (' Animal behaviour', 100, 530) , [' Anim Behav']
Applied Energy , (' Applied energy', 100, 21290) , [' Appl Energy']
Asian Journal of Psychiatry , (' Asian journal of psychiatry', 100, 22443) , [' Asian J Psychiatr']
Atherosclerosis , (' Atherosclerosis', 100, 871) , [' Atherosclerosis']
BBA - Molecular Basis of Disease , (' Academy review of the California Academy of Periodontology United States Section ARPA Internationale', 86, 5) , [' Acad Rev Calif Acad Periodontol']
Behavior Research and Therapy , (' Behaviour research and therapy', 98, 929) , [' Behav Res Ther']
Behaviour Research and Therapy , (' Behaviour research and therapy', 100, 929) , [' Behav Res Ther']
Behavioural Brain Research , (' Behavioural brain research', 100, 1386) , [' Behav Brain Res']
Biochemical and Biophysical Research Communications , (' Biochemical and biophysical research communications', 100, 972) , [' Biochem Biophys Res Commun']
Biochemical Pharmacology , (' Biochemical pharmacology', 100, 979) , [' Biochem Pharmacol']
Biochimica et Bioohysica Acta - Gene Regulatory Mechanisms , (' Biochimica et biophysica acta', 87, 1001) , [' Biochim Biophys Acta']
Biochimica et Bioohysica Acta - Molecular Basis of Disease , (' Biochimica et biophysica acta', 87, 1001) , [' Biochim Biophys Acta']
Biochimica et Biophysica Acta - Molecular Basis of Disease , (' Biochimica et biophysica acta', 90, 1001) , [' Biochim Biophys Acta']
Biochimica et Biophysica Acta BBA - Molecular Cell Research , (' Biochimica et biophysica acta', 90, 1001) , [' Biochim Biophys Acta']
Biochimie , (' Biochimie', 100, 1007) , [' Biochimie']
Biological Psychiatry , (' Biological psychiatry', 100, 1080) , [' Biol Psychiatry']
BIOLOGICAL PSYCHOLOGY , (' Biological psychology', 100, 1082) , [' Biol Psychol']
Biomaterials , (' Biomaterials', 100, 1101) , [' Biomaterials']
Biosystems , (' Bio Systems', 95, 1154) , [' Biosystems']
Bone , (' Bone', 100, 1650) , [' Bone']
Brain and Cognition , (' Brain and cognition', 100, 1522) , [' Brain Cogn']
Brain and Language , (' Brain and language', 100, 1854) , [' Brain Lang']
Brain Research , (' Brain research', 100, 1855) , [' Brain Res']
Cancer Letters , (' Cancer letters', 100, 2662) , [' Cancer Lett']
Cell , (' Cell', 100, 2707) , [' Cell']
